meh	0	*	this show tolerance limit of gujju gujjuo ko badnaam din raat karta hai or abhi tak ya zinda kaisa hai kamaal ka thanda khoon hai gujjus ka <url>
meh	0	*	<user> acha choddo yaar tum log jeeton aur hazaaron baar jeeton per sirf maa behno ka rape krna band krdo muje haar manzor ha
meh	0	*	<user> delhi rape case k waqt sadko pe utar aye insaaf ki baatein ki kya ye bachi alag h kya ye be desh ki beti nahi thi
meh	1	*	<user> <user> veer i hate you usne aaj <hashtag> ko ghoda bana diya uska maa kal <hashtag> ko kutta kaha <user> <user>
meh	1	*	<user> jaha dekho waha rape rape koi kuch bolega bhi kese unke hi admi jo he
meh	0	*	<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> kanchan ji one thousand, nine hundred and forty-seven punjabi kom ke saath rape hue the isse sikh aur hindu ki nazar se dekhna galat hain
meh	0	*	<user> plz ask modi ji punjab election aa gaye hain ek pose bhagat singh k phansi par latakne wala bhi de dalein <hashtag>
meh	1	*	<user> <user> i hate that frdship bani be selfish woh kise ki frd nahi bna sakta eighty-four din tak bani ko nitibha nahi dekh kya
meh	0	*	aur shanghi bhajpiye kewal tab jaagte hain jab danga karna ho rape karna ho loot machana ho ya bomb banana ho <user> <user> <url>
meh	0	*	<user> <user> air jo rape ho rahe h kabhi us par bhi bolo
meh	0	*	mohabbat tum se nafrat hai episode one har pal geo <url> via <user>
meh	1	*	<user> <user> <user> kisi ko afwah me mar diya to muje kya hazaro ka rape hua usse muze kya meri sarkar h mai rok ni paya use tumhe kya
meh	0	*	<user> court ne dekha isiliye abhi tak doshi nahi mana lekin media ne yahi bataya ki rape ki pushti ho gayi hai aur sabhi log uski bat man gaye
meh	1	*	i hate travel alone ajakal to bajuwalo se bat karane ki iccha bhi nai hoti
meh	0	*	<user> reject karna tha to seedha bol deti murder karwane ki kya jarurat thi <user>
meh	0	*	<user> bapu pehle bhi hate they cong ki sarkar me aur ab sirf hathe nahi modi ne bapu ke paze per kabja kar lia
meh	0	*	<user> sir hamare desh me rape jaisi jaghan apradh ko rokne k liy sarkaar kya kar rahi hai aap hamare pm ho iske liy hamein grw hai
meh	1	*	<user> i hate taklas all rap woh muh kholta hai ki usse khuch phek ke marne ka mann karta hai
meh	0	*	<user> <user> ye hmari gairatmand qoum haiinhy kch mat kahay plz warna ye kabba m bethi hawa pay jism faroshi ka ilzam laga kar uska rape bhi karday gy
